Info 0    [9:37:53.775] Starting TS Server
Info 27   [9:37:55.878] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 28   [9:37:55.878] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 29   [9:37:55.878] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json.4178474390 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 30   [9:37:55.878] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json.4178474390 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 31   [9:37:55.878] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 32   [9:37:55.878] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 33   [9:37:55.878] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 34   [9:37:55.879] Elapsed:: 1ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 35   [9:37:56.82] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [9:37:56.215] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 133ms
Info 37   [9:37:56.215] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 38   [9:37:56.216] Structure before ensureProjectForOpenFiles:
Info 39   [9:37:56.216] Structure after ensureProjectForOpenFiles:
Info 40   [9:37:56.216] got projects updated in background, updating diagnostics for /Users/ich-jeferson/Desktop/blog/app.js
Info 41   [9:37:57.681] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [9:37:57.708] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 27ms
Info 43   [9:37:57.708] Project '/dev/null/inferredProject1*' (Inferred) 
Info 44   [9:37:57.708] 	Files (92)

Info 45   [9:37:57.708] -----------------------------------------------
Info 46   [9:37:57.709] Structure before ensureProjectForOpenFiles:
Info 47   [9:37:57.709] Structure after ensureProjectForOpenFiles:
Info 48   [9:37:57.709] got projects updated in background, updating diagnostics for /Users/ich-jeferson/Desktop/blog/app.js
Info 49   [9:37:58.153] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [9:37:58.159] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 6ms
Info 51   [9:37:58.159] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 52   [9:37:58.159] Structure before ensureProjectForOpenFiles:
Info 53   [9:37:58.159] Structure after ensureProjectForOpenFiles:
Info 54   [9:37:58.159] got projects updated in background, updating diagnostics for /Users/ich-jeferson/Desktop/blog/app.js
Info 55   [9:48:33.64] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [9:48:33.112] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: true Elapsed: 48ms
Info 57   [9:48:33.112] Project '/dev/null/inferredProject1*' (Inferred) 
Info 58   [9:48:33.112] 	Files (89)

Info 59   [9:48:33.112] -----------------------------------------------
Info 60   [9:48:33.112] Structure before ensureProjectForOpenFiles:
Info 61   [9:48:33.112] Structure after ensureProjectForOpenFiles:
Info 62   [9:48:33.112] got projects updated in background, updating diagnostics for /Users/ich-jeferson/Desktop/blog/app.js
Info 63   [9:48:33.217] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [9:48:33.224] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 7ms
Info 65   [9:48:33.224] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 66   [9:48:33.472] Structure before ensureProjectForOpenFiles:
Info 67   [9:48:33.472] Structure after ensureProjectForOpenFiles:
Info 68   [9:48:33.472] got projects updated in background, updating diagnostics for /Users/ich-jeferson/Desktop/blog/app.js
